Acc, Kappa
-0.615998, 0.00116801
-0.691126, 0.00111576
-0.322267, 0.00107479
1.22955, 0.000734268
0.956314, 0.000285199
0.705461, -0.000159425
0.518351, -0.000524956
0.349616, -0.000894369
0.214691, -0.001236
-0.0884626, -0.00154889
-0.220548, -0.00186157
-0.459122, -0.00216346
-0.329595, -0.00250143
-0.0739576, -0.00283436
-0.0729536, -0.00316525
-0.0731361, -0.00350658
0.0615899, -0.00355475
0.059945, -0.00314655
0.0589256, -0.00275066
0.0583566, -0.00233324
0.0581949, -0.00196362
0.058282, -0.00157352
0.0585134, -0.00122691
0.0588267, -0.00088933
0.0592125, -0.000529601
0.0595777, -0.000206249
0.0599389, 0.000112535
0.0602886, 0.000428069
-0.0281761, 0.000621226
-0.0283542, 0.000468827
-0.0284871, 0.000315246
-0.0285812, 0.000160974
-0.0286434, 6.39443e-06
-0.0286823, -0.000162245
-0.028697, -0.000316642
-0.0286947, -0.000484682
-0.0286763, -0.000652207
-0.0286463, -0.000805253
-0.028603, -0.000957757
0.0282957, -0.00104018
0.0282887, -0.000879917
0.0282672, -0.00073262
0.0282331, -0.000571676
0.0281924, -0.000410598
0.0281399, -0.000245966
0.0281095, -9.85773e-05
0.0280723, 6.19515e-05
0.0280346, 0.000208848
-0.0455138, 0.000230558
-0.0454635, -7.74157e-06
-0.0454559, -0.000267825
-0.0454907, -0.000506552
-0.045561, -0.000745768
-0.04566, -0.000985625
-0.0458009, -0.00127007
-0.0459367, -0.00153364
-0.0460485, -0.00177608
-0.0461289, -0.00201918
-0.0461562, -0.00226275
-0.0461063, -0.00250645
-0.0459521, -0.00274981
0.0901292, -0.00276693
0.090161, -0.00224716
0.0900136, -0.0017287
0.0897987, -0.00121223
0.0895987, -0.000697887
0.0894743, -0.000228086
0.0894267, 0.000282986
0.0894624, 0.000750553
0.0895516, 0.00121756
0.089652, 0.00168417
0.0897007, 0.00215026
-0.0185012, 0.00210575
-0.0185365, 0.00200957
-0.0185506, 0.00190445
-0.0185438, 0.00179927
-0.0185229, 0.00170288
-0.0184883, 0.00159784
-0.0184488, 0.0015017
-0.0184008, 0.00139703
-0.0183469, 0.00128389
-0.0182988, 0.0011797
-0.00295186, 0.00116162
-0.00295508, 0.00114342
-0.0029568, 0.00112661
-0.00295739, 0.00110979
-0.00295685, 0.00109157
-0.00295533, 0.00107476
-0.00295289, 0.00105795
-0.00294929, 0.00103976
-0.00294517, 0.001023
-0.00293989, 0.00100486
-0.00293435, 0.00098815
0.0130732, 0.000998693
0.0130775, 0.00107927
0.0130771, 0.00115364
0.0130709, 0.00122797
0.0130577, 0.00130222
0.0130359, 0.00137635
0.0130039, 0.00145032
0.0107924, 0.00152236
0.0108611, 0.00158384
0.0109234, 0.00164053
0.0109893, 0.00170273
0.0110467, 0.00176005
0.0111047, 0.00182289
0.0111563, 0.00188602
0.0111999, 0.00194941
0.0112315, 0.00200769
0.011255, 0.0020714
0.0112651, 0.00212988
-0.00897153, 0.00212083
-0.00898601, 0.00206996
-0.00898874, 0.00202327
-0.00898131, 0.00197234
-0.00896592, 0.00192571
-0.00894082, 0.00187493
-0.00891108, 0.00182851
-0.00887576, 0.00178225
-0.00883176, 0.00173199
-0.00878724, 0.00168614
-0.00873045, 0.00163224
-0.00867967, 0.00158691
-0.00862708, 0.00154184
-0.00856343, 0.00148892
-0.0763777, 0.00115203
-0.0763817, 0.000716964
-0.0764109, 0.000281095
-0.0764775, -0.000119319
-0.076597, -0.000557315
-0.0767517, -0.000996763
-0.0769099, -0.00143777
-0.0770158, -0.00184331
-0.077031, -0.00224974
-0.0768907, -0.00265647
-0.076518, -0.00306252
0.0236524, -0.00335283
0.0233989, -0.00322803
0.0231093, -0.00310469
0.0227927, -0.00298299
0.0224265, -0.00285223
0.0220483, -0.00272368
0.0217304, -0.00261829
0.0213839, -0.00250418
0.0419431, -0.00236192
0.0422328, -0.0021395
0.0424272, -0.00191605
0.0425528, -0.00167161
0.0426121, -0.00140651
0.0426164, -0.00116185
0.0425859, -0.000897109
0.0425435, -0.000673474
0.0424894, -0.000429966
0.0424338, -0.000186958
-0.0340641, -0.000193337
-0.0340632, -0.000404575
-0.0340943, -0.000599825
-0.0341463, -0.000779153
-0.0342236, -0.000975282
-0.0343154, -0.00117202
-0.034413, -0.00136941
-0.0345061, -0.00156745
-0.0345772, -0.00174952
-0.0346265, -0.00194858
-0.0346313, -0.00214792
-0.0345664, -0.00236382
0.0568335, -0.00256097
0.0569887, -0.00220565
0.0569954, -0.00185031
0.0569118, -0.00149563
0.0567958, -0.00116918
0.0566736, -0.000843755
0.0565599, -0.000492336
0.0564838, -0.000141931
0.0564547, 0.000180829
0.0564672, 0.000529981
0.0215988, 0.000693068
0.0216387, 0.000826533
0.0216806, 0.000949887
