s, d
6058.41,-5.96868
6064.32,-5.97123
6070.64,-5.96969
6076.55,-5.97179
6082.45,-5.9701
6088.78,-5.97062
6094.68,-5.97113
6101,-5.97085
6107.32,-5.97133
6113.21,-5.96893
6119.53,-5.97131
6125.85,-5.97104
6132.17,-5.97208
6138.06,-5.97193
6145.22,-5.97228
6151.11,-5.97048
6157.84,-5.96974
6163.73,-5.97074
6169.62,-5.97238
6175.93,-5.97163
6182.24,-5.97114
6188.97,-5.97149
6196.11,-5.9712
6202.42,-5.97052
6209.14,-5.96974
6216.7,-5.9687
6223.42,-5.97049
6229.7,-5.97076
6235.98,-5.97094
6242.66,-5.96973
6248.5,-5.97248
6255.14,-5.97227
6261.35,-5.97158
6267.95,-5.97291
6274.11,-5.96887
6280.26,-5.97678
6286.38,-6.0304
6292.91,-6.19296
6299.01,-6.4407
6305.51,-6.79235
6311.58,-7.17056
6318.06,-7.59698
6324.94,-8.04516
6331.4,-8.43585
6337.84,-8.77706
6343.46,-9.03324
6349.45,-9.25836
6355.42,-9.43937
6360.96,-9.56305
6366.5,-9.65916
6372.43,-9.72901
6377.96,-9.76022
6383.47,-9.7565
6389,-9.75662
6394.55,-9.75753
6399.71,-9.75996
6404.89,-9.75706
6410.51,-9.76023
6415.73,-9.75525
6421.4,-9.75744
6427.08,-9.75631
6432.79,-9.75614
6439.35,-9.75628
6445.51,-9.7563
6451.71,-9.75688
6457.92,-9.75729
6464.15,-9.75852
6470.39,-9.75762
6476.64,-9.75603
6482.91,-9.75544
6489.61,-9.75659
6496.74,-9.75749
6503.05,-9.75938
6508.93,-9.75773
6515.24,-9.75649
6520.72,-9.75814
6526.21,-9.75892
6531.69,-9.75753
6537.18,-9.75969
6542.24,-9.75791
6547.73,-9.75871
6553.64,-9.75535
6559.14,-9.75814
6565.47,-9.7553
